classGrade,stage,subject,subjectCode,topic,description,learningObjectives,month,bloomLevels
VI,MIDDLE,Mathematics,MATH,Ratio and Proportion,"Comparing quantities","Students understand ratio; Students find equivalent ratios; Students understand proportion; Students apply ratio and proportion in problems",April-May,"APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Symmetry,"Line and rotational symmetry","Students identify line of symmetry; Students draw symmetric figures; Students understand rotational symmetry; Students identify symmetry in natural objects",May-June,"ANALYZE"
VI,MIDDLE,English,ENG,Prose,"Stories and narratives","Students read and comprehend short stories; Students identify story elements (characters, plot, setting, theme); Students make inferences and predictions; Students discuss author's purpose and message",July-August,"UNDERSTAND,ANALYZE,EVALUATE"
VI,MIDDLE,English,ENG,Poetry,"Poems and verses","Students identify poetic devices (rhyme, rhythm, alliteration); Students appreciate figurative language; Students recite poems; Students understand theme and emotion in poetry",August-September,"UNDERSTAND,ANALYZE"
VI,MIDDLE,English,ENG,Grammar,"Language structure","Students identify parts of speech (nouns, verbs, adjectives, adverbs, pronouns); Students understand sentence structure; Students correct grammatical errors; Students use tenses correctly",September-October,"APPLY,ANALYZE"
VI,MIDDLE,English,ENG,Writing Skills,"Composition and expression","Students write short paragraphs; Students compose stories; Students write descriptive passages; Students express ideas clearly and logically",October-November,"APPLY,ANALYZE,CREATE"
VI,MIDDLE,English,ENG,Vocabulary,"Word meanings and usage","Students learn new vocabulary in context; Students understand word meanings; Students use synonyms and antonyms appropriately; Students understand prefixes and suffixes",November-December,"UNDERSTAND,APPLY"
VI,MIDDLE,Science,SCI,Living Organisms and Environment,"Classification and habitats","Students classify organisms (plants and animals); Students understand different habitats; Students learn food chains and food webs; Students understand adaptation",July-August,"REMEMBER,UNDERSTAND,APPLY"
VI,MIDDLE,Science,SCI,Body Organization and Life Processes,"Human body systems","Students understand basic body organization; Students learn about digestion, respiration, circulation systems; Students understand nutrition and health",August-September,"UNDERSTAND,APPLY"
VI,MIDDLE,Science,SCI,Plant Processes,"Nutrition in plants","Students understand photosynthesis; Students learn about plant growth; Students understand structure of plant organs (roots, stem, leaves, flowers)",September-October,"UNDERSTAND,APPLY"
VI,MIDDLE,Science,SCI,Force and Motion,"Physical concepts","Students understand force and its effects; Students learn about motion, speed, and velocity; Students understand friction, pressure, simple machines",October-November,"APPLY,ANALYZE"
VI,MIDDLE,Science,SCI,Energy,"Forms and transfer of energy","Students understand different forms of energy (heat, light, sound); Students learn energy transfer and transformation; Students understand renewable and non-renewable energy sources",November-December,"UNDERSTAND,APPLY,ANALYZE"
VI,MIDDLE,Science,SCI,Matter,"Properties and states","Students understand properties of matter; Students learn about states of matter (solid, liquid, gas); Students understand physical and chemical changes; Students learn about separation of substances",December-January,"UNDERSTAND,APPLY"
VI,MIDDLE,Science,SCI,Diversity in Living Organisms,"Biological classification","Students understand diversity in living world; Students learn taxonomy and classification systems; Students identify different kingdoms, phyla; Students understand species and variation",January-February,"UNDERSTAND,ANALYZE"
VI,MIDDLE,Social Studies,SST,Early Humans and Society,"Prehistoric and ancient civilizations","Students learn about early humans and their evolution; Students understand development of society and culture; Students learn about ancient civilizations (Mesopotamia, Egypt, Indus Valley)",July-August,"REMEMBER,UNDERSTAND"
VI,MIDDLE,Social Studies,SST,Indian History,"Indian civilization and empires","Students learn about Indus Valley Civilization; Students study ancient Indian empires (Maurya, Gupta, Mughal); Students understand Indian culture and contributions",August-September,"REMEMBER,UNDERSTAND,ANALYZE"
VI,MIDDLE,Social Studies,SST,Geography of Earth,"Physical features and climate","Students understand Earth's structure and surface features; Students learn about climate, weather, seasons; Students understand vegetation and wildlife zones; Students study major geographical features",September-October,"REMEMBER,UNDERSTAND,APPLY"
VI,MIDDLE,Social Studies,SST,Government and Civics,"Structure of government","Students understand concept of government; Students learn about democracy; Students understand Constitution and laws; Students learn about rights and responsibilities of citizens",October-November,"UNDERSTAND,APPLY"
VI,MIDDLE,Social Studies,SST,Economics and Resources,"Production and economics","Students understand basic economics concepts; Students learn about natural resources and their utilization; Students understand occupations and livelihoods; Students study trade and commerce",November-December,"UNDERSTAND,APPLY"
VII,MIDDLE,Mathematics,MATH,Integers,"Operations on integers","Students add and subtract integers; Students multiply and divide integers; Students use integers in real-world contexts; Students understand rational numbers as integers",July-August,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Fractions and Decimals,"Operations and conversions","Students add and subtract fractions and decimals; Students multiply and divide fractions; Students work with mixed fractions; Students convert between fractions and decimals",August-September,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Data Handling,"Statistics basics","Students collect, organize, and represent data; Students calculate mean, median, mode; Students interpret bar graphs and line graphs; Students understand probability concepts",September-October,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Simple Equations,"Linear equations","Students form and solve simple linear equations; Students solve equations with variables on both sides; Students apply equations to word problems",October-November,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Lines and Angles,"Geometric concepts","Students understand angles and their relationships; Students study parallel and intersecting lines; Students learn angle properties; Students measure and construct angles",November-December,"UNDERSTAND,APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Triangle and Its Properties,"Triangle properties","Students understand triangle types and properties; Students learn about angle sum property; Students understand congruence of triangles; Students solve problems involving triangles",December-January,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Congruence of Triangles,"Similarity and congruence","Students understand congruency criteria (SSS, SAS, ASA, AAS); Students recognize congruent and similar figures; Students apply these concepts in proofs",January-February,"ANALYZE,EVALUATE"
VII,MIDDLE,Mathematics,MATH,Comparing Quantities,"Percentages and ratios","Students understand percentage; Students calculate discount and profit; Students solve problems involving ratios and proportions; Students understand simple interest",February-March,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Rational Numbers,"Rational arithmetic","Students represent rational numbers on number line; Students add and subtract rational numbers; Students multiply and divide rational numbers; Students understand properties",March-April,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Perimeter and Area,"Measurement problems","Students calculate perimeter of polygons; Students calculate area of triangles and quadrilaterals; Students solve composite area problems; Students understand volume basics",April-May,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Algebraic Expressions,"Working with algebra","Students form and simplify algebraic expressions; Students add and subtract expressions; Students multiply monomials and binomials; Students understand like and unlike terms",May-June,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Rational Numbers,"Properties and operations","Students perform all operations on rational numbers; Students understand properties (closure, associativity, commutativity); Students solve equations with rational coefficients",July-August,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Linear Equations,"Equations in one variable","Students solve linear equations in one variable; Students apply transposition method; Students solve word problems using equations; Students check solutions",August-September,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Understanding Quadrilaterals,"Properties of quadrilaterals","Students understand different types of quadrilaterals; Students learn properties of parallelograms, rectangles, squares; Students solve problems involving angles and sides",September-October,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Practical Geometry,"Construction","Students construct triangles given different conditions (SSS, SAS, ASA); Students construct quadrilaterals; Students construct perpendiculars and bisectors",October-November,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Data Handling,"Graphs and probability","Students create and interpret bar graphs, histograms, pie charts; Students understand frequency distribution; Students calculate probability of simple events",November-December,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Squares and Square Roots,"Properties and calculations","Students recognize perfect squares; Students find square roots; Students understand properties of square roots; Students solve equations involving squares and roots",December-January,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Cubes and Cube Roots,"3D properties","Students understand perfect cubes; Students calculate cube roots; Students solve problems involving volumes of cubes",January-February,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Comparing Quantities,"Percentages advanced","Students calculate percent increase/decrease; Students solve problems on simple and compound interest; Students understand profit, loss, discount, tax",February-March,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Algebraic Expressions and Identities,"Polynomial operations","Students multiply polynomials; Students factor expressions; Students use algebraic identities; Students divide polynomials",March-April,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Visualizing Solid Shapes,"3D geometry","Students identify 3D shapes from 2D representations; Students understand nets of solids; Students calculate surface area and volume of solids",April-May,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Number Systems,"Real numbers and operations","Students understand different number systems (natural, whole, integers, rationals, irrationals); Students perform operations on real numbers; Students represent real numbers on number line",July-August,"REMEMBER,UNDERSTAND,APPLY"
IX,SECONDARY,Mathematics,MATH,Polynomials,"Polynomial concepts","Students identify and classify polynomials; Students perform polynomial operations; Students factor polynomials; Students find zeros of polynomials",August-September,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Coordinate Geometry,"Plotting and graphs","Students understand Cartesian coordinate system; Students plot points and identify quadrants; Students find distances between points; Students understand equations of lines",September-October,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Linear Equations in Two Variables,"Systems of equations","Students solve linear equations in two variables; Students graph linear equations; Students solve systems of linear equations; Students apply to real-world problems",October-November,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Introduction to Euclid's Geometry,"Geometric foundations","Students understand Euclidean geometry; Students study axioms and postulates; Students prove geometric theorems; Students understand congruence and similarity",November-December,"ANALYZE,EVALUATE"
IX,SECONDARY,Mathematics,MATH,Lines and Angles,"Angle relationships","Students study angle relationships (vertical, linear pair, adjacent); Students understand parallel lines and transversals; Students apply properties to solve problems",December-January,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Triangles,"Triangle properties advanced","Students prove triangle congruency; Students understand triangle inequalities; Students study isosceles and equilateral triangles; Students apply Pythagoras theorem",January-February,"ANALYZE,EVALUATE"
IX,SECONDARY,Mathematics,MATH,Quadrilaterals,"Quadrilateral properties","Students understand properties of different quadrilaterals; Students prove theorems about quadrilaterals; Students solve problems involving angles and sides",February-March,"ANALYZE,EVALUATE"
IX,SECONDARY,Mathematics,MATH,Circles,"Circular geometry","Students understand circle terminology (radius, diameter, chord, tangent); Students study circle theorems; Students solve problems involving circles",March-April,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Heron's Formula,"Area calculations","Students derive and apply Heron's formula; Students calculate areas of triangles using Heron's formula; Students solve composite area problems",April,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Surface Area and Volume,"3D measurements","Students calculate surface areas of solids (prism, pyramid, cylinder, cone, sphere); Students calculate volumes of solids; Students solve real-world problems",April-May,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Statistics,"Data analysis","Students collect and organize data; Students calculate measures of central tendency; Students understand and calculate standard deviation; Students create and interpret graphs",May-June,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Probability,"Probability basics","Students understand probability concepts; Students calculate probability of simple and compound events; Students apply probability in real situations",June,"APPLY,ANALYZE,EVALUATE"
X,SECONDARY,Mathematics,MATH,Real Numbers,"Number theory","Students understand real number properties; Students perform operations on real numbers; Students understand rationals and irrationals; Students simplify surds",July-August,"REMEMBER,UNDERSTAND,APPLY"
X,SECONDARY,Mathematics,MATH,Polynomials,"Factorization and division","Students factor polynomials; Students perform polynomial division; Students use Remainder and Factor Theorems; Students find zeros of polynomials",August-September,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Pairs of Linear Equations,"System solving","Students solve pairs of linear equations by graphical and algebraic methods; Students analyze consistency of systems; Students apply to real-world situations",September-October,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Quadratic Equations,"Solving quadratics","Students solve quadratic equations using factorization, completing square, quadratic formula; Students analyze roots using discriminant; Students apply to problems",October-November,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Arithmetic Progressions,"Sequences","Students identify and understand arithmetic progressions; Students find nth term and sum of AP; Students apply AP to real situations",November-December,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Triangles and Similarity,"Advanced triangle properties","Students understand similarity of triangles; Students apply Basic Proportionality Theorem; Students use triangle properties in problems; Students understand area relationships",December-January,"ANALYZE,EVALUATE"
X,SECONDARY,Mathematics,MATH,Circles and Tangents,"Circle theorems","Students study circle theorems; Students understand tangent properties; Students solve problems involving tangents and secants; Students construct tangents",January-February,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Coordinate Geometry,"Distance and section","Students find distance between two points; Students find section formula; Students find centroid of triangle; Students find area using coordinates",February-March,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Trigonometry,"Trigonometric ratios","Students understand sine, cosine, tangent ratios; Students calculate values for standard angles; Students apply trigonometry in problems; Students understand complementary angle relationships",March-April,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Applications of Trigonometry,"Heights and distances","Students apply trigonometry to find heights and distances; Students solve angle of elevation and depression problems; Students use applications in navigation and astronomy",April-May,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Circles and Areas,"Perimeter and area","Students calculate perimeter and area of circles; Students find sector and segment areas; Students solve problems involving combinations of shapes",May,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Surface Areas and Volumes,"Solid geometry","Students calculate surface areas of solids; Students calculate volumes of solids and combinations; Students solve real-world geometry problems",May-June,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Probability,"Events and probability","Students calculate probability of simple and compound events; Students understand mutually exclusive and independent events; Students apply probability in real contexts",June,"APPLY,ANALYZE,EVALUATE"
X,SECONDARY,Science,SCI,Chemical Reactions and Equations,"Balancing and types","Students write chemical equations; Students balance equations; Students understand types of reactions (combination, decomposition, displacement, double displacement); Students calculate stoichiometry",July-August,"UNDERSTAND,APPLY"
X,SECONDARY,Science,SCI,Acids Bases and Salts,"Properties and reactions","Students understand pH scale; Students learn properties of acids and bases; Students study neutralization reactions; Students understand salt formation and properties",August-September,"UNDERSTAND,APPLY,ANALYZE"
X,SECONDARY,Science,SCI,Metals and Non-metals,"Properties and reactions","Students compare properties of metals and non-metals; Students study metal extraction; Students understand reactivity series; Students learn corrosion prevention",September-October,"UNDERSTAND,ANALYZE"
X,SECONDARY,Science,SCI,Carbon and Its Compounds,"Organic chemistry basics","Students understand properties of carbon; Students study alkanes, alkenes, alkynes; Students understand covalent bonding; Students learn about organic reactions",October-November,"UNDERSTAND,APPLY"
X,SECONDARY,Science,SCI,Periodic Classification,"Modern periodic table","Students understand periodic table organization; Students study periodic trends; Students classify elements; Students predict element properties",November-December,"UNDERSTAND,APPLY"
X,SECONDARY,Science,SCI,Life Processes,"Nutrition and transport","Students understand modes of nutrition; Students study photosynthesis in detail; Students learn human digestive system; Students understand transport in plants and animals",December-January,"UNDERSTAND,APPLY"
X,SECONDARY,Science,SCI,Control and Coordination,"Nervous and endocrine systems","Students understand human nervous system; Students study reflex actions; Students learn about hormones and endocrine glands; Students understand plant hormones",January-February,"UNDERSTAND,APPLY"
X,SECONDARY,Science,SCI,Reproduction,"Sexual and asexual reproduction","Students understand modes of reproduction; Students study human reproductive system; Students understand reproductive health; Students learn plant reproduction",February-March,"UNDERSTAND,APPLY"
X,SECONDARY,Science,SCI,Heredity and Evolution,"Genetics and natural selection","Students understand Mendel's laws; Students study inheritance patterns; Students understand DNA and genes; Students learn evolutionary concepts and evidence",March-April,"UNDERSTAND,APPLY,ANALYZE"
X,SECONDARY,Science,SCI,Light Reflection and Refraction,"Optics basics","Students study laws of reflection; Students learn mirrors and lenses; Students understand magnification; Students solve ray optics problems",April-May,"APPLY,ANALYZE"
X,SECONDARY,Science,SCI,Human Eye and Vision,"Optical phenomena","Students understand eye structure and functioning; Students learn common vision defects; Students study prism and spectrum; Students understand atmospheric refraction",May,"APPLY,ANALYZE"
X,SECONDARY,Science,SCI,Electricity and Current,"Electric circuits","Students understand electric current and potential difference; Students study Ohm's law; Students understand power and energy; Students solve circuit problems",May-June,"APPLY,ANALYZE"
X,SECONDARY,Science,SCI,Magnetic Effects of Current,"Electromagnetism","Students understand magnetic fields; Students study electromagnetic induction; Students learn AC and DC; Students understand motor and generator principles",June,"APPLY,ANALYZE"
X,SECONDARY,English,ENG,Reading Skills,"Comprehension","Students read and comprehend passages; Students answer comprehension questions; Students identify main ideas and supporting details; Students make inferences and predictions",July-August,"UNDERSTAND,ANALYZE"
X,SECONDARY,English,ENG,Writing Skills,"Essays and letters","Students write essays on various topics; Students compose formal and informal letters; Students write reports and articles; Students express ideas effectively",August-September,"APPLY,ANALYZE,CREATE"
X,SECONDARY,English,ENG,Literature,"Plays and poetry","Students analyze dramatic works; Students study character development; Students understand poetic devices and themes; Students appreciate literary merit",September-October,"ANALYZE,EVALUATE"
XI,SECONDARY,Mathematics,MATH,Sets and Relations,"Set theory basics","Students understand set notation and operations; Students learn relations and functions; Students represent sets using Venn diagrams; Students solve set theory problems",July-August,"REMEMBER,UNDERSTAND"
XI,SECONDARY,Mathematics,MATH,Relations and Functions,"Function concepts","Students understand ordered pairs and Cartesian product; Students study domain and codomain; Students classify functions; Students study inverse functions",August-September,"UNDERSTAND,APPLY"
XI,SECONDARY,Mathematics,MATH,Trigonometric Functions,"Trigonometry advanced","Students define trigonometric functions; Students learn graphs of trigonometric functions; Students study trigonometric identities; Students solve equations",September-October,"APPLY,ANALYZE"
XI,SECONDARY,Mathematics,MATH,Sequences and Series,"Progressions","Students study arithmetic progressions; Students study geometric progressions; Students learn sum formulas; Students understand convergence",October-November,"APPLY,ANALYZE"
XI,SECONDARY,Mathematics,MATH,Combinatorics,"Permutations and combinations","Students understand fundamental counting principle; Students study permutations and combinations; Students solve selection and arrangement problems",November-December,"APPLY,ANALYZE"
XI,SECONDARY,Mathematics,MATH,Binomial Theorem,"Expansion","Students understand binomial expansion; Students apply binomial theorem; Students find specific terms in binomial expansion; Students understand Pascal's triangle",December-January,"APPLY,ANALYZE"
XI,SECONDARY,Mathematics,MATH,Limits and Continuity,"Calculus foundations","Students understand limits of functions; Students study continuity; Students calculate limits algebraically and graphically; Students understand theorems",January-February,"ANALYZE"
XI,SECONDARY,Mathematics,MATH,Derivatives,"Calculus basics","Students understand derivative as rate of change; Students calculate derivatives from first principles; Students learn differentiation rules; Students apply derivatives",February-March,"ANALYZE,EVALUATE"
XI,SECONDARY,Mathematics,MATH,Mathematical Reasoning,"Logic","Students understand mathematical statements; Students study logical connectives; Students learn implications and equivalences; Students prove statements",March-April,"EVALUATE"
XI,SECONDARY,Mathematics,MATH,Complex Numbers,"Algebra advanced","Students understand complex number system; Students perform operations on complex numbers; Students represent complex numbers geometrically; Students solve equations",April-May,"APPLY,ANALYZE"
XII,SECONDARY,Mathematics,MATH,Relations and Functions,"Advanced properties","Students study composition of functions; Students understand bijections; Students find inverses; Students apply function concepts",July-August,"ANALYZE,EVALUATE"
XII,SECONDARY,Mathematics,MATH,Inverse Trigonometric Functions,"Trigonometric inverses","Students understand inverse trigonometric functions; Students find domain and range; Students solve equations involving inverse functions",August-September,"APPLY,ANALYZE"
XII,SECONDARY,Mathematics,MATH,Matrices and Determinants,"Linear algebra","Students perform matrix operations; Students calculate determinants; Students find matrix inverses; Students apply to linear systems",September-October,"APPLY,ANALYZE"
XII,SECONDARY,Mathematics,MATH,Continuity and Differentiability,"Calculus advanced","Students study continuity and differentiability; Students understand mean value theorems; Students study derivatives of composite and implicit functions",October-November,"ANALYZE,EVALUATE"
XII,SECONDARY,Mathematics,MATH,Applications of Derivatives,"Optimization","Students find maximum and minimum values; Students study curve sketching; Students solve optimization problems; Students understand rate of change applications",November-December,"APPLY,ANALYZE"
XII,SECONDARY,Mathematics,MATH,Integration,"Antiderivatives","Students understand integration as antiderivative; Students learn integration rules; Students calculate definite and indefinite integrals; Students apply to area problems",December-January,"APPLY,ANALYZE"
XII,SECONDARY,Mathematics,MATH,Applications of Integration,"Calculus applications","Students find areas under curves; Students calculate volumes of revolution; Students solve differential equations; Students apply integration to real situations",January-February,"APPLY,ANALYZE"
