classGrade,stage,subject,subjectCode,topic,description,learningObjectives,month,bloomLevels
IV,PREPARATORY,Science,SCI,Human Body,"Body systems","Students understand digestive system; Students learn about respiratory system; Students understand skeletal system",August-September,"UNDERSTAND,APPLY"
IV,PREPARATORY,Science,SCI,Health and Hygiene,"Disease prevention","Students understand hygiene practices; Students learn about diseases and prevention; Students understand nutrition",September-October,"APPLY"
IV,PREPARATORY,Science,SCI,Water,"Properties and uses","Students understand water cycle; Students learn about water conservation; Students understand water pollution",October-November,"UNDERSTAND,APPLY"
IV,PREPARATORY,Science,SCI,Weather and Climate,"Seasonal changes","Students observe weather patterns; Students understand weather instruments; Students learn climate characteristics",November-December,"UNDERSTAND,APPLY"
IV,PREPARATORY,Science,SCI,Energy and Motion,"Force and work","Students understand force and motion; Students learn about simple machines; Students understand work and energy basics",December-January,"APPLY,ANALYZE"
IV,PREPARATORY,Social Studies,SST,Early Indian History,"Ancient civilizations","Students learn about Indus Valley Civilization; Students understand Vedic period; Students study early kingdoms",July-August,"REMEMBER,UNDERSTAND"
IV,PREPARATORY,Social Studies,SST,Mughal Period,"Empire and culture","Students learn about Mughal emperors; Students understand Mughal architecture; Students study administrative systems",August-September,"UNDERSTAND,ANALYZE"
IV,PREPARATORY,Social Studies,SST,British India,"Colonial period","Students learn about British rule; Students understand independence movement; Students study resistance to colonialism",September-October,"UNDERSTAND,ANALYZE"
IV,PREPARATORY,Social Studies,SST,Geography of India,"Physical features","Students learn about mountains, rivers, and plains; Students understand climate zones; Students study geographical regions",October-November,"UNDERSTAND,APPLY"
IV,PREPARATORY,Social Studies,SST,Indian Culture,"Traditions and values","Students learn about festivals; Students understand cultural practices; Students study heritage sites",November-December,"UNDERSTAND"
IV,PREPARATORY,Social Studies,SST,Government and Constitution,"Basic governance","Students understand what government does; Students learn about Constitution basics; Students understand rights and duties",December-January,"REMEMBER,UNDERSTAND"
V,PREPARATORY,Mathematics,MATH,Knowing Our Numbers,"Place value and number operations","Students understand place value up to 1,00,000 (1 lakh); Students use Vedic mathematics tricks for rapid calculation; Students order and compare large numbers",July-August,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Whole Numbers,"Operations on whole numbers","Students add and subtract multi-digit whole numbers with carry-over and borrow; Students multiply multi-digit numbers; Students divide with remainder; Students understand properties of whole numbers (commutative, associative, distributive)",August-September,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Playing with Numbers,"Factors, multiples, and divisibility","Students identify factors and multiples of numbers; Students understand divisibility rules; Students recognize prime and composite numbers; Students find LCM and HCF",September-October,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Fractions,"Operations with fractions","Students add and subtract fractions with different denominators; Students multiply fractions; Students divide fractions; Students understand improper fractions and mixed numbers",October-November,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Decimals,"Decimal operations","Students add and subtract decimals; Students multiply decimals; Students divide decimals; Students convert between fractions and decimals",November-December,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Algebra,"Introduction to variables and expressions","Students use variables to represent unknowns; Students write simple algebraic expressions; Students solve simple equations; Students create and extend patterns",December-January,"APPLY,ANALYZE,CREATE"
V,PREPARATORY,Mathematics,MATH,Ratio and Proportion,"Understanding ratios","Students identify ratios in real situations; Students simplify ratios; Students understand proportion; Students apply ratios to solve problems",January-February,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Geometry,"Angles and shapes","Students understand angle concepts and measurement; Students classify triangles and quadrilaterals; Students identify properties of 2D shapes; Students understand perimeter",February-March,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Perimeter and Area,"Calculating measurements","Students calculate perimeter of rectangles and triangles; Students calculate area of rectangles; Students solve real-world problems involving perimeter and area",March-April,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Data Handling,"Organizing and interpreting data","Students collect and organize data; Students create bar graphs, pictographs, and simple line graphs; Students find average, mode, and range; Students interpret graphs and draw conclusions",April-May,"APPLY,ANALYZE,EVALUATE"
V,PREPARATORY,English,ENG,Reading Skills,"Comprehension and analysis","Students read diverse texts; Students answer comprehension questions; Students make inferences; Students analyze story elements",July-August,"UNDERSTAND,ANALYZE"
V,PREPARATORY,English,ENG,Writing Skills,"Expressive writing","Students write stories and narratives; Students compose essays; Students write letters; Students express opinions",August-September,"APPLY,CREATE"
V,PREPARATORY,English,ENG,Grammar,"Sentence patterns","Students understand complex sentence structures; Students master tenses; Students use punctuation correctly; Students understand parts of speech",September-October,"APPLY"
V,PREPARATORY,English,ENG,Vocabulary,"Word learning","Students expand vocabulary; Students understand word meanings; Students use words in context; Students recognize word families",October-November,"UNDERSTAND,APPLY"
V,PREPARATORY,English,ENG,Literature,"Stories and poems","Students read and analyze stories; Students appreciate poetry; Students understand literary elements; Students identify themes",November-December,"ANALYZE,EVALUATE"
V,PREPARATORY,English,ENG,Communication,"Speaking and presentation","Students speak fluently; Students present ideas; Students engage in discussions; Students listen actively",December-January,"APPLY"
V,PREPARATORY,Science,SCI,The Living World,"Living organisms","Students understand characteristics of living things; Students classify organisms; Students learn about biodiversity; Students understand ecosystems",July-August,"UNDERSTAND,APPLY"
V,PREPARATORY,Science,SCI,Human Body and Nutrition,"Body functions","Students understand human body systems; Students learn about nutrition and digestion; Students understand health concepts",August-September,"UNDERSTAND,APPLY,ANALYZE"
V,PREPARATORY,Science,SCI,Respiration and Health,"Breathing systems","Students understand respiration; Students learn about respiratory diseases; Students understand health and hygiene practices",September-October,"APPLY"
V,PREPARATORY,Science,SCI,The Atmosphere,"Air and weather","Students understand atmosphere; Students study weather phenomena; Students understand climate; Students learn about air pollution",October-November,"UNDERSTAND,APPLY"
V,PREPARATORY,Science,SCI,Water and Soils,"Earth resources","Students understand water cycle; Students learn about water conservation; Students study soil formation; Students understand soil types",November-December,"UNDERSTAND,APPLY"
V,PREPARATORY,Science,SCI,Physical Phenomena,"Light and energy","Students understand light and shadow; Students learn about heat transfer; Students study simple machines; Students understand energy forms",December-January,"APPLY,ANALYZE"
V,PREPARATORY,Social Studies,SST,Early Civilizations,"Ancient world history","Students learn about ancient Indian civilizations; Students understand ancient empires; Students study cultural developments",July-August,"REMEMBER,UNDERSTAND"
V,PREPARATORY,Social Studies,SST,Medieval India,"Kingdom period","Students learn about medieval kingdoms; Students understand feudalism; Students study cultural and architectural developments",August-September,"UNDERSTAND,ANALYZE"
V,PREPARATORY,Social Studies,SST,Modern India,"Recent history","Students understand Industrial Revolution effects; Students learn about Indian independence; Students study modern nation-building",September-October,"UNDERSTAND,ANALYZE"
V,PREPARATORY,Social Studies,SST,Geography,"Indian subcontinent","Students understand India's geography; Students learn about climate zones; Students study vegetation and wildlife",October-November,"UNDERSTAND,APPLY"
V,PREPARATORY,Social Studies,SST,Government and Citizens,"Rights and responsibilities","Students understand Indian Constitution; Students learn about government structure; Students understand citizen responsibilities",November-December,"UNDERSTAND,APPLY"
V,PREPARATORY,Social Studies,SST,Economic Activities,"Occupations and trade","Students learn about various occupations; Students understand production and distribution; Students study trade and commerce",December-January,"UNDERSTAND,APPLY"
VI,MIDDLE,Mathematics,MATH,Knowing Our Numbers,"Number system and place value","Students understand numbers up to lakhs; Students know Hindu-Arabic numeral system; Students compare, order, and round large numbers; Students understand BODMAS",July-August,"REMEMBER,UNDERSTAND,APPLY"
VI,MIDDLE,Mathematics,MATH,Whole Numbers,"Number line and properties","Students represent whole numbers on number line; Students understand whole number properties; Students perform operations and apply them to word problems",August-September,"APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Playing with Numbers,"Factors and multiples","Students find factors and multiples; Students understand divisibility tests; Students identify prime and composite numbers; Students find GCD and LCM",September-October,"APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Basic Geometrical Ideas,"Geometric fundamentals","Students understand points, lines, line segments, rays; Students identify angles and their classification; Students understand plane figures and their properties",October-November,"REMEMBER,UNDERSTAND"
VI,MIDDLE,Mathematics,MATH,Understanding Elementary Shapes,"Classifying shapes","Students classify polygons; Students identify and name triangles and quadrilaterals; Students understand circles and their properties; Students measure angles using protractor",November-December,"UNDERSTAND,APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Integers,"Positive and negative numbers","Students understand integers and their representation on number line; Students compare and order integers; Students add and subtract integers; Students multiply and divide integers",December-January,"APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Fractions,"Fraction concepts and operations","Students identify and represent fractions; Students compare and order fractions; Students add and subtract fractions; Students multiply fractions by whole numbers; Students understand mixed numbers",January-February,"APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Decimals,"Decimal numbers","Students understand decimal representation; Students compare and order decimals; Students add and subtract decimals; Students multiply and divide decimals; Students convert between decimals and fractions",February-March,"APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Algebra,"Variables and equations","Students use variables; Students write algebraic expressions; Students solve simple linear equations; Students understand and create patterns",March-April,"APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Ratio and Proportion,"Comparing quantities","Students understand ratio; Students find equivalent ratios; Students understand proportion; Students apply ratio and proportion in problems",April-May,"APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Symmetry,"Line and rotational symmetry","Students identify line of symmetry; Students draw symmetric figures; Students understand rotational symmetry; Students identify symmetry in natural objects",May-June,"ANALYZE"
VI,MIDDLE,English,ENG,Reading and Comprehension,"Literary texts","Students read and comprehend short stories; Students identify story elements; Students make inferences; Students discuss themes",July-August,"UNDERSTAND,ANALYZE"
VI,MIDDLE,English,ENG,Writing Skills,"Essays and narratives","Students write essays; Students compose narratives; Students write descriptive passages; Students express ideas coherently",August-September,"APPLY,CREATE"
VI,MIDDLE,English,ENG,Grammar,"Sentence structures","Students understand complex sentences; Students master all tenses; Students use punctuation correctly; Students identify parts of speech",September-October,"APPLY,ANALYZE"
VI,MIDDLE,English,ENG,Vocabulary and Spelling,"Language development","Students expand vocabulary; Students understand context; Students use synonyms and antonyms; Students spell complex words",October-November,"UNDERSTAND,APPLY"
VI,MIDDLE,English,ENG,Poetry and Literature,"Poetic appreciation","Students read and analyze poems; Students identify poetic devices; Students understand literary devices; Students analyze themes",November-December,"ANALYZE,EVALUATE"
VI,MIDDLE,English,ENG,Speaking and Listening,"Communication skills","Students present ideas fluently; Students engage in discussions; Students listen critically; Students participate in group activities",December-January,"APPLY"
VI,MIDDLE,Science,SCI,Living Organisms and Environment,"Classification and habitats","Students classify organisms (plants and animals); Students understand different habitats; Students learn food chains and food webs; Students understand adaptation",July-August,"REMEMBER,UNDERSTAND,APPLY"
VI,MIDDLE,Science,SCI,Body Organization and Life Processes,"Human body systems","Students understand basic body organization; Students learn about digestion, respiration, circulation systems; Students understand nutrition and health",August-September,"UNDERSTAND,APPLY"
VI,MIDDLE,Science,SCI,Plant Processes,"Nutrition in plants","Students understand photosynthesis; Students learn about plant growth; Students understand structure of plant organs (roots, stem, leaves, flowers)",September-October,"UNDERSTAND,APPLY"
VI,MIDDLE,Science,SCI,Force and Motion,"Physical concepts","Students understand force and its effects; Students learn about motion, speed, and velocity; Students understand friction, pressure, simple machines",October-November,"APPLY,ANALYZE"
VI,MIDDLE,Science,SCI,Energy,"Forms and transfer of energy","Students understand different forms of energy (heat, light, sound); Students learn energy transfer and transformation; Students understand renewable and non-renewable energy sources",November-December,"UNDERSTAND,APPLY,ANALYZE"
VI,MIDDLE,Science,SCI,Matter,"Properties and states","Students understand properties of matter; Students learn about states of matter (solid, liquid, gas); Students understand physical and chemical changes; Students learn about separation of substances",December-January,"UNDERSTAND,APPLY"
VI,MIDDLE,Science,SCI,Diversity in Living Organisms,"Biological classification","Students understand diversity in living world; Students learn taxonomy and classification systems; Students identify different kingdoms, phyla; Students understand species and variation",January-February,"UNDERSTAND,ANALYZE"
VI,MIDDLE,Social Studies,SST,Early Humans and Society,"Prehistoric and ancient civilizations","Students learn about early humans and their evolution; Students understand development of society and culture; Students learn about ancient civilizations (Mesopotamia, Egypt, Indus Valley)",July-August,"REMEMBER,UNDERSTAND"
VI,MIDDLE,Social Studies,SST,Indian History,"Indian civilization and empires","Students learn about Indus Valley Civilization; Students study ancient Indian empires (Maurya, Gupta, Mughal); Students understand Indian culture and contributions",August-September,"REMEMBER,UNDERSTAND,ANALYZE"
VI,MIDDLE,Social Studies,SST,Geography of Earth,"Physical features and climate","Students understand Earth's structure and surface features; Students learn about climate, weather, seasons; Students understand vegetation and wildlife zones; Students study major geographical features",September-October,"REMEMBER,UNDERSTAND,APPLY"
VI,MIDDLE,Social Studies,SST,Government and Civics,"Structure of government","Students understand concept of government; Students learn about democracy; Students understand Constitution and laws; Students learn about rights and responsibilities of citizens",October-November,"UNDERSTAND,APPLY"
VI,MIDDLE,Social Studies,SST,Economics and Resources,"Production and economics","Students understand basic economics concepts; Students learn about natural resources and their utilization; Students understand occupations and livelihoods; Students study trade and commerce",November-December,"UNDERSTAND,APPLY"
VII,MIDDLE,Mathematics,MATH,Integers,"Operations on integers","Students add and subtract integers; Students multiply and divide integers; Students use integers in real-world contexts; Students understand rational numbers as integers",July-August,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Fractions and Decimals,"Operations and conversions","Students add and subtract fractions and decimals; Students multiply and divide fractions; Students work with mixed fractions; Students convert between fractions and decimals",August-September,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Data Handling,"Statistics basics","Students collect, organize, and represent data; Students calculate mean, median, mode; Students interpret bar graphs and line graphs; Students understand probability concepts",September-October,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Simple Equations,"Linear equations","Students form and solve simple linear equations; Students solve equations with variables on both sides; Students apply equations to word problems",October-November,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Lines and Angles,"Geometric concepts","Students understand angles and their relationships; Students study parallel and intersecting lines; Students learn angle properties; Students measure and construct angles",November-December,"UNDERSTAND,APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Triangle and Its Properties,"Triangle properties","Students understand triangle types and properties; Students learn about angle sum property; Students understand congruence of triangles; Students solve problems involving triangles",December-January,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Congruence of Triangles,"Similarity and congruence","Students understand congruency criteria (SSS, SAS, ASA, AAS); Students recognize congruent and similar figures; Students apply these concepts in proofs",January-February,"ANALYZE,EVALUATE"
VII,MIDDLE,Mathematics,MATH,Comparing Quantities,"Percentages and ratios","Students understand percentage; Students calculate discount and profit; Students solve problems involving ratios and proportions; Students understand simple interest",February-March,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Rational Numbers,"Rational arithmetic","Students represent rational numbers on number line; Students add and subtract rational numbers; Students multiply and divide rational numbers; Students understand properties",March-April,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Perimeter and Area,"Measurement problems","Students calculate perimeter of polygons; Students calculate area of triangles and quadrilaterals; Students solve composite area problems; Students understand volume basics",April-May,"APPLY,ANALYZE"
VII,MIDDLE,Mathematics,MATH,Algebraic Expressions,"Working with algebra","Students form and simplify algebraic expressions; Students add and subtract expressions; Students multiply monomials and binomials; Students understand like and unlike terms",May-June,"APPLY,ANALYZE"
VII,MIDDLE,English,ENG,Reading,"Advanced comprehension","Students analyze complex texts; Students understand multiple interpretations; Students evaluate author's style; Students draw inferences",July-August,"ANALYZE,EVALUATE"
VII,MIDDLE,English,ENG,Writing,"Creative expression","Students write essays on abstract topics; Students compose creative pieces; Students write persuasive essays; Students develop writing style",August-September,"APPLY,CREATE"
VII,MIDDLE,English,ENG,Grammar,"Advanced structures","Students master complex grammatical structures; Students use advanced punctuation; Students understand nuances of language",September-October,"APPLY,ANALYZE"
VII,MIDDLE,English,ENG,Literature,"Literary analysis","Students analyze literary works; Students understand literary conventions; Students study different genres; Students appreciate literary merit",October-November,"ANALYZE,EVALUATE"
VII,MIDDLE,Science,SCI,Nutrition and Digestion,"Digestive system","Students understand nutrition in plants and animals; Students study digestive system in detail; Students understand balanced diet and its importance",July-August,"UNDERSTAND,APPLY"
VII,MIDDLE,Science,SCI,Respiration and Transportation,"Circulatory systems","Students understand respiration process; Students study blood circulation; Students understand transportation of materials in organisms",August-September,"UNDERSTAND,APPLY,ANALYZE"
VII,MIDDLE,Science,SCI,Animal and Plant Tissues,"Cell organization","Students understand tissue types; Students study plant tissues (meristem, dermal, vascular, ground); Students study animal tissues (epithelial, connective, muscular, nervous)",September-October,"UNDERSTAND,APPLY"
VII,MIDDLE,Science,SCI,Reproduction in Organisms,"Modes of reproduction","Students understand asexual reproduction (binary fission, budding, spore formation); Students understand sexual reproduction; Students study reproduction in plants and animals",October-November,"UNDERSTAND,APPLY"
VII,MIDDLE,Science,SCI,Acids Bases and Salts,"Chemical properties","Students understand pH scale; Students study acid and base properties; Students learn neutralization reactions; Students understand salt formation",November-December,"UNDERSTAND,APPLY,ANALYZE"
VII,MIDDLE,Science,SCI,Physical and Chemical Changes,"Matter transformation","Students distinguish physical from chemical changes; Students understand indicators of chemical changes; Students study reversible and irreversible changes",December-January,"UNDERSTAND,APPLY"
VII,MIDDLE,Science,SCI,Weather Climate and Adaptation,"Weather systems","Students understand weather and climate; Students study weather patterns; Students learn about adaptation of organisms; Students understand atmospheric phenomena",January-February,"UNDERSTAND,APPLY,ANALYZE"
VII,MIDDLE,Science,SCI,Wastewater Story,"Water pollution","Students understand water contamination; Students learn water purification methods; Students understand sewage treatment; Students learn water conservation",February-March,"APPLY,ANALYZE"
VII,MIDDLE,Social Studies,SST,Tracing Changes Through Thousand Years,"Historical periods","Students learn major events in Indian history; Students understand timeline of civilizations; Students study cultural transitions; Students analyze historical developments",July-August,"UNDERSTAND,ANALYZE"
VII,MIDDLE,Social Studies,SST,New Kings and Kingdoms,"Political developments","Students study regional kingdoms; Students understand administrative systems; Students learn about succession and governance",August-September,"UNDERSTAND,ANALYZE"
VII,MIDDLE,Social Studies,SST,Expansion of Empires,"Mughal and Maratha","Students learn about Mughal Empire expansion; Students understand Maratha politics; Students study cultural synthesis",September-October,"UNDERSTAND,ANALYZE"
VII,MIDDLE,Social Studies,SST,Geography of Europe and Asia,"Continents","Students learn geography of Asia; Students study geography of Europe; Students understand climate and vegetation zones",October-November,"UNDERSTAND,APPLY"
VII,MIDDLE,Social Studies,SST,Ruling the Countryside,"Agrarian society","Students understand feudal system; Students study peasant life; Students learn about rural economies",November-December,"UNDERSTAND,ANALYZE"
VII,MIDDLE,Social Studies,SST,Tribals Dikus and Vision of a Golden Age,"Social structure","Students learn about tribal societies; Students understand social changes; Students study cultural perspectives",December-January,"UNDERSTAND,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Rational Numbers,"Properties and operations","Students perform all operations on rational numbers; Students understand properties (closure, associativity, commutativity); Students solve equations with rational coefficients",July-August,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Linear Equations,"Equations in one variable","Students solve linear equations in one variable; Students apply transposition method; Students solve word problems using equations; Students check solutions",August-September,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Understanding Quadrilaterals,"Properties of quadrilaterals","Students understand different types of quadrilaterals; Students learn properties of parallelograms, rectangles, squares; Students solve problems involving angles and sides",September-October,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Practical Geometry,"Construction","Students construct triangles given different conditions (SSS, SAS, ASA); Students construct quadrilaterals; Students construct perpendiculars and bisectors",October-November,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Data Handling,"Graphs and probability","Students create and interpret bar graphs, histograms, pie charts; Students understand frequency distribution; Students calculate probability of simple events",November-December,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Squares and Square Roots,"Properties and calculations","Students recognize perfect squares; Students find square roots; Students understand properties of square roots; Students solve equations involving squares and roots",December-January,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Cubes and Cube Roots,"3D properties","Students understand perfect cubes; Students calculate cube roots; Students solve problems involving volumes of cubes",January-February,"APPLY,ANALYZE"
